"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","information-level","trust","credibility","opinions","government-intervention","government-control-of-economy","free-trade","protectionism","pro-choice","tax-increase-to-offset-debt-and-deficit","crime-punishment-level","military-hawkishness","non-military-interventions","affirmative-action","prayer-in-schools","market-solution-to-healthcare","moralistic-law"
"0","100","311","35.11628659486553","62.24610688545553","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","100","291","26.689500733195757","-28.685373455736446","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","100","231","32.74941430920376","60.98468981602929","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","100","151","-10.375972435061477","41.40942767223345","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","100","168","-48.44699533902302","6.151562001963612","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"5","100","170","-44.22638353853134","4.649778025096879","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","100","235","-42.1376923466214","61.93184381898661","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","100","114","36.79870236637461","-14.596303976552747","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"8","100","207","-36.89765472449179","-45.083421253161816","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9","100","251","-59.51814179054641","-11.302468442782327","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10","100","72","-50.037463032077085","-14.509560079717062","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11","100","167","-63.590477821975185","54.110530727574144","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12","100","84","-63.05021205821381","44.060810229470434","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"13","100","305","31.652602132513607","7.9779425080719335","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"14","100","258","-32.02617798037929","-27.850521200565787","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"15","100","302","25.00644856737945","-24.448791395012478","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"16","100","18","-52.93554405705683","5.59359225473581","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"17","100","115","-56.003630419028966","3.5671498909019164","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18","100","352","-58.91803032082071","-60.19026734225837","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"19","100","49","47.737059854513646","-63.57190981652672","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"20","100","98","52.28604679876406","-60.233861993099715","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21","100","173","8.998207320268776","32.426847562718734","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"22","100","349","11.046818482984534","-15.275171042817895","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"23","100","310","-8.863780490797495","25.068071509577834","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"24","100","82","5.70354763618748","-50.236727467952505","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"25","100","322","2.7956829949420836","49.87172985145497","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","100","102","14.701894797530286","-54.15901433262284","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"27","100","359","21.711725439932493","8.428995089209906","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28","100","157","42.153735304360495","-55.66447043920283","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","100","142","54.34192265031443","32.122630030438216","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","100","109","-29.63906675983435","39.5362027600887","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"31","100","19","-63.236936250843826","-22.41906324492865","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","100","162","5.6950506654440005","14.864691793421002","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"33","100","97","9.106764881546312","63.28778135958052","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","100","21","-49.12987447377332","-57.927418322169515","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","100","151","-15.245452640412772","-17.473177578481824","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","100","107","30.374005512484743","7.2435072593418255","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","100","217","-58.29669870889197","11.022169769674917","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","100","317","39.522307846119745","-60.074837148820905","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"39","100","256","31.893769072656525","10.504538468710635","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"40","100","103","-10.988061946663926","7.450485587101994","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
