"who","color","heading","xcor","ycor","shape","label","label-color","breed","hidden?","size","pen-size","pen-mode","information-level","trust","credibility","opinions","government-intervention","government-control-of-economy","free-trade","protectionism","pro-choice","tax-increase-to-offset-debt-and-deficit","crime-punishment-level","military-hawkishness","non-military-interventions","affirmative-action","prayer-in-schools","market-solution-to-healthcare","moralistic-law","government-intervention-weight","government-control-of-economy-weight","free-trade-weight","protectionism-weight","pro-choice-weight","tax-increase-to-offset-debt-and-deficit-weight","crime-punishment-level-weight","military-hawkishness-weight","non-military-interventions-weight","affirmative-action-weight","prayer-in-schools-weight","market-solution-to-healthcare-weight","moralistic-law-weight"
"0","107.41563010100974","234","20.950281360350992","27.051098466934334","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","74.41473799999642","-0.023000000000000027","1","[""Moderate government intervention"" ""Some control of economy"" ""Support free trade with caution"" ""Mixed stance on protectionism"" ""Mixed on pro-choice"" ""Mixed on tax-increases"" ""Moderate stance on crime"" ""Neutral on military policy"" ""Favor both diplomacy and military"" ""Neutral on affirmative action"" ""Mixed stance on prayer in schools"" ""Support a combination of market and government solutions for healthcare"" ""Moderate stance on law and morality""]","54.95956350091764","62.070691696117564","57.14118601738285","47.09586179580758","58.14692055823879","48.950203011998916","49.829733892389605","40.21371809242256","46.908943100906654","62.07714586422908","45.31469440873107","46.320650460460385","44.28857983039977","0.9432528312600976","0.22127668612227136","0.5545266859212382","0.8566681766649313","0.27274659048114014","0.5245351314855645","0.9948596902210327","0.465304260964306","0.08642208250144989","0.2475112255112486","0.5900227709977738","0.3702501836503438","0.632538729132052"
"1","109.9999","325","-34.6481355621091","8.230306342517915","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","100.40599999999955","-0.04100000000000015","6","[""Less government intervention"" ""Less government control of economy"" ""Pro free trade"" ""Against protectionism"" ""Pro-choice"" ""tax-increase to off-set debt and deficit"" ""Soft on crime"" ""Less hawkish on military policy"" ""Favor other interventions instead of military"" ""Accepting of affirmative action"" ""Against prayer in schools"" ""For market solutions to healthcare"" ""Less moralistic in law""]","14.047542533418744","13.18336618749549","85.68699851982608","16.258980317009133","89.03654629318044","86.34257793767314","31.92263412398781","23.748073418838196","70.69137056142465","83.48650142012806","21.274518470023324","71.392463658397","23.66849992288881","0.6743251641563583","0.08317644739748109","0.6575051845447879","0.6337400134055291","0.12414827215318858","0.8172461785332179","0.8672395393927714","0.8236677727954286","0.05827544988669087","0.4376876961339149","0.8961601161053528","0.26909688666229625","0.6361038635993773"
"2","107.15978106060598","196","62.598605477880405","-49.06750899115081","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","71.88183249999923","-0.028999999999999946","1","[""Moderate government intervention"" ""Some control of economy"" ""Support free trade with caution"" ""Mixed stance on protectionism"" ""Mixed on pro-choice"" ""Mixed on tax-increases"" ""Moderate stance on crime"" ""Neutral on military policy"" ""Favor both diplomacy and military"" ""Neutral on affirmative action"" ""Mixed stance on prayer in schools"" ""Support a combination of market and government solutions for healthcare"" ""Moderate stance on law and morality""]","50.575780922602135","59.71343904154742","36.670252217431525","45.49678027208515","45.329402938640385","55.25465665706436","70.765548187558","58.164310948147204","46.73832617028305","58.9672605995929","56.4003886453562","54.54696598674036","64.15763330522519","0.29972802743465343","0.5447555300094108","0.7025822864923014","0.6695521408444267","0.3430205857733444","0.5953829057768034","0.8166541055953107","0.20793199144733754","0.9297037485649836","0.03955828820242213","0.4165083684433284","0.9456793125629075","0.21303383231966866"
"3","108.44950393939209","2","17.116054833927258","-46.21978943111012","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","84.65008899998162","0.09700000000000006","3","[""Less government intervention"" ""Less government control of economy"" ""Pro free trade"" ""Against protectionism"" ""Pro-choice"" ""tax-increase to off-set debt and deficit"" ""Soft on crime"" ""Less hawkish on military policy"" ""Favor other interventions instead of military"" ""Accepting of affirmative action"" ""Against prayer in schools"" ""For market solutions to healthcare"" ""Less moralistic in law""]","16.912026957990125","21.394193198083148","84.37483320056661","34.34427527113702","78.77546046190739","85.35158329604792","15.084015015036496","39.74091811397795","92.06706439034218","72.18026225059006","13.019427654165984","81.79685807693716","25.644438098002517","0.44143446331781766","0.7320558937001013","0.5482821718309313","0.4831987071962073","0.12545738124684191","0.7107647018556307","0.8807972395204571","0.18291414303598208","0.32716328034697184","0.9657036151725313","0.49646444597453554","0.719292203949395","0.08450020992033802"
"4","108.58909919191963","264","-10.369292075903662","-61.825840398608264","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","86.03208200000438","-0.18800000000000017","6","[""Less government intervention"" ""Less government control of economy"" ""Pro free trade"" ""Against protectionism"" ""Pro-choice"" ""tax-increase to off-set debt and deficit"" ""Soft on crime"" ""Less hawkish on military policy"" ""Favor other interventions instead of military"" ""Accepting of affirmative action"" ""Against prayer in schools"" ""For market solutions to healthcare"" ""Less moralistic in law""]","17.527058400874257","11.272940884396327","91.99976978869907","25.748805540359445","89.34855496966156","82.73451215800452","24.67384341617619","10.912440647987893","95.43714397846922","81.32182496281436","11.041299257211962","87.88044831219796","26.872484892852885","0.03349491394195481","0.3564281563943609","0.6882894307007495","0.6139299386718429","0.37352019019866545","0.2587014066083807","0.7437299628278791","0.09832521942086625","0.536084380872577","0.615324748421555","0.5943317586759909","0.14584218903205926","0.11830812527893897"
"5","103.98633323232279","76","-50.973624433848094","-20.609306946923013","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","40.4646989999956","-0.12300000000000011","2","[""More government intervention"" ""More government control of economy"" ""Skeptical of free trade"" ""Pro-protectionism"" ""Pro-life"" ""lower taxes"" ""Tough on crime"" ""More hawkish on military policy"" ""Favor military interventions"" ""Against affirmative action"" ""Support prayer in schools"" ""For government-led healthcare solutions"" ""More moralistic in law""]","80.67822815223991","79.54666383571852","26.334465695007548","74.52916439807083","6.5113936339410134","18.001219445786035","73.1244087810883","91.17430349015865","33.534342022872735","32.3376547973559","91.81267225987192","11.969274762647213","94.84342507517695","0.48967665262985227","0.4961688861304733","0.5236020688436955","0.3750643103203064","0.5638722253625678","0.7102587707560334","0.4868492035341915","0.1457983594208142","0.34406218224327","0.10089533160169739","0.09429437723342793","0.4915352241156945","0.4901181812019414"
"6","107.66397909090705","247","10.66595907226992","-31.648697858468797","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","76.87339299997973","-0.1270000000000001","4","[""Less government intervention"" ""Less government control of economy"" ""Pro free trade"" ""Against protectionism"" ""Pro-choice"" ""tax-increase to off-set debt and deficit"" ""Soft on crime"" ""Less hawkish on military policy"" ""Favor other interventions instead of military"" ""Accepting of affirmative action"" ""Against prayer in schools"" ""For market solutions to healthcare"" ""Less moralistic in law""]","12.479437093628718","22.49233806940188","87.60904632806312","25.160214096831233","86.25798376781077","93.31998295908895","20.75442781008747","15.725820839749105","74.88708592724629","88.97220807567051","6.058951273043913","86.95354491081763","30.942704618607017","0.9230116075109525","0.7746648270373283","0.13799037722785668","0.004829318030670882","0.45304607331988966","0.8650289302910354","0.1966595209332227","0.5605734193962428","0.2907836614422292","0.1008299605216203","0.9064642415841532","0.4568797905828019","0.9668905194936677"
"7","106.08350782828373","174","-63.124695523336065","-24.200599386026894","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","61.22672750000896","-0.2260000000000002","1","[""Moderate government intervention"" ""Some control of economy"" ""Support free trade with caution"" ""Mixed stance on protectionism"" ""Mixed on pro-choice"" ""Mixed on tax-increases"" ""Moderate stance on crime"" ""Neutral on military policy"" ""Favor both diplomacy and military"" ""Neutral on affirmative action"" ""Mixed stance on prayer in schools"" ""Support a combination of market and government solutions for healthcare"" ""Moderate stance on law and morality""]","50.08664441853369","52.805225533179275","48.16527080368587","36.93808857370143","72.97648145893157","59.26603604070568","63.606850735713955","58.89541465273247","40.07386031621743","49.692111059028676","36.73250659983019","48.741931292103686","54.652508310138415","0.43206796454108654","0.3489121264188385","0.8955331370363045","0.5226588712763027","0.47735888852905595","0.48450042799444004","0.8088884572189482","0.9418570100530972","0.13984186822712086","0.45305530158236784","0.5260903139113412","0.7084902100123762","0.6255950069352001"
"8","108.78434343434293","175","20.63543875951777","-57.78748897495819","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","87.96499999999506","-0.05900000000000013","9","[""Less government intervention"" ""Less government control of economy"" ""Pro free trade"" ""Against protectionism"" ""Pro-choice"" ""tax-increase to off-set debt and deficit"" ""Soft on crime"" ""Less hawkish on military policy"" ""Favor other interventions instead of military"" ""Accepting of affirmative action"" ""Against prayer in schools"" ""For market solutions to healthcare"" ""Less moralistic in law""]","31.211583359623738","31.577917380157473","77.37099234657944","26.8835410288572","99.7209758239414","81.42449895534698","36.889933707541346","20.21493914105868","86.94688174573443","72.51468213086287","19.425434064100013","71.00629633542735","8.018811555400838","0.7775270350537627","0.2026518722952222","0.14923883700296103","0.6305507185625011","0.4895530899559224","0.057534212381972094","0.8103606196895681","0.8190599272912658","0.0028997601687483776","0.8377488136738237","0.9250658500564459","0.7492598451220015","0.5847279037165208"
"9","101.94826696969696","304","55.65742275430653","60.10140127270447","""person""","""""","9.9","{all-turtles}","false","1","1","""up""","20.28784299999996","-0.05100000000000012","1","[""More government intervention"" ""More government control of economy"" ""Skeptical of free trade"" ""Pro-protectionism"" ""Pro-life"" ""lower taxes"" ""Tough on crime"" ""More hawkish on military policy"" ""Favor military interventions"" ""Against affirmative action"" ""Support prayer in schools"" ""For government-led healthcare solutions"" ""More moralistic in law""]","94.5639537792391","91.16305321758574","8.661553959001454","88.70656337615725","32.457151505686284","31.041693380813367","97.65673513904888","88.32464158121311","11.70166008045355","34.62432465490398","86.5501443883927","21.383474416574895","90.6326693756711","0.8801390177483713","0.5220023029825064","0.21907915546780687","0.19713542262555406","0.9263168522677723","0.31270801963981487","0.3478482439780858","0.5658478731292159","0.5392564094919262","0.7781714747069842","0.7697716661989329","0.1710964040702766","0.29882957452948744"
