Step,AgentID,Vote
0,Candidate_0,
0,Candidate_1,
0,9,yes
0,17,yes
0,21,yes
0,25,yes
0,28,yes
0,30,yes
0,34,yes
0,35,yes
0,45,yes
0,60,yes
0,62,yes
0,65,yes
0,70,yes
0,72,yes
0,73,yes
0,81,yes
0,82,yes
0,84,yes
0,86,yes
0,91,yes
0,97,yes
0,100,yes
0,101,yes
0,111,yes
0,119,yes
0,122,yes
0,131,yes
0,132,yes
0,139,yes
0,140,yes
0,144,yes
0,147,yes
0,149,yes
0,157,yes
0,158,yes
0,165,yes
0,169,yes
0,170,yes
0,173,yes
0,177,yes
0,178,yes
0,180,yes
0,182,yes
0,184,yes
0,202,yes
0,207,yes
0,211,yes
0,220,yes
0,222,yes
0,223,yes
0,231,yes
0,235,yes
0,240,yes
0,242,yes
0,248,yes
0,257,yes
0,259,yes
0,264,yes
0,265,yes
0,272,yes
0,274,yes
0,290,yes
0,297,yes
0,300,yes
0,310,yes
0,311,yes
0,315,yes
0,316,yes
0,319,yes
0,321,yes
0,323,yes
0,341,yes
0,343,yes
0,345,yes
0,350,yes
0,353,yes
0,358,yes
0,366,yes
0,374,yes
0,375,yes
0,378,yes
0,382,yes
0,383,yes
0,384,yes
0,407,yes
0,409,yes
0,417,yes
0,427,yes
0,429,yes
0,433,yes
0,436,yes
0,439,yes
0,440,yes
0,445,yes
0,454,yes
0,457,yes
0,458,yes
0,464,yes
0,465,yes
0,466,yes
0,467,yes
0,473,yes
0,474,yes
0,482,yes
0,483,yes
0,487,yes
0,490,yes
0,492,yes
0,497,yes
0,498,yes
1,384,yes
1,169,yes
1,177,yes
1,487,yes
1,366,yes
1,82,yes
1,465,yes
1,81,yes
1,25,yes
1,436,yes
1,466,yes
1,375,yes
1,483,yes
1,457,yes
1,84,yes
1,91,yes
1,122,yes
1,321,yes
1,170,yes
1,220,yes
1,17,yes
1,182,yes
1,259,yes
1,316,yes
1,429,yes
1,350,yes
1,265,yes
1,300,yes
1,345,yes
1,319,yes
1,417,yes
1,119,yes
1,341,yes
1,383,yes
1,497,yes
1,248,yes
1,242,yes
1,498,yes
1,382,yes
1,473,yes
1,97,yes
1,140,yes
1,240,yes
1,290,yes
1,149,yes
1,297,yes
1,147,yes
1,139,yes
1,101,yes
1,310,yes
1,28,yes
1,184,yes
1,70,yes
1,353,yes
1,311,yes
1,100,yes
1,158,yes
1,274,yes
1,378,yes
1,343,yes
1,9,yes
1,173,yes
1,211,yes
1,34,yes
1,454,yes
1,132,yes
1,72,yes
1,467,yes
1,439,yes
1,374,yes
1,407,yes
1,440,yes
1,492,yes
1,144,yes
1,427,yes
1,21,yes
1,73,yes
1,272,yes
1,358,yes
1,45,yes
1,60,yes
1,157,yes
1,458,yes
1,207,yes
1,323,yes
1,62,yes
1,222,yes
1,409,yes
1,131,yes
1,445,yes
1,202,yes
1,30,yes
1,Candidate_1,
1,474,yes
1,180,yes
1,464,yes
1,315,yes
1,Candidate_0,
1,482,yes
1,111,yes
1,231,yes
1,223,yes
1,165,yes
1,65,yes
1,35,yes
1,178,yes
1,257,yes
1,433,yes
1,264,yes
1,86,yes
1,490,yes
1,235,yes
2,466,yes
2,240,yes
2,202,yes
2,259,yes
2,497,yes
2,383,yes
2,101,yes
2,91,yes
2,409,yes
2,265,yes
2,231,yes
2,384,yes
2,25,yes
2,173,yes
2,427,yes
2,149,yes
2,417,yes
2,100,yes
2,465,yes
